Name,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Earl Campbell,"
									
										
										
											
												
												
													
														
														
															373
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															24.9
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															1,934
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															5.2
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															128.9
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															128.9
														
													
												
											
										
									
								"
Walter Payton,"
									
										
										
											
												
												
													
														
														
															317
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															19.8
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															1,460
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															4.6
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															91.2
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															91.2
														
													
												
											
										
									
								"
Ottis Anderson,"
									
										
										
											
												
												
													
														
														
															301
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															18.8
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															1,352
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															4.5
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															84.5
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															84.5
														
													
												
											
										
									
								"
William Andrews,"
									
										
										
											
												
												
													
														
														
															265
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															16.6
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															1,308
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															4.9
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															81.8
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															81.8
														
													
												
											
										
									
								"
Billy Sims,"
									
										
										
											
												
												
													
														
														
															313
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															19.6
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															1,303
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															4.2
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															81.4
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															81.4
														
													
												
											
										
									
								"
Tony Dorsett,"
									
										
										
											
												
												
													
														
														
															278
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															18.5
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															1,185
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															4.3
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															79.0
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															79.0
														
													
												
											
										
									
								"
Joe Cribbs,"
									
										
										
											
												
												
													
														
														
															306
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															19.1
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															1,185
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															3.9
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															74.1
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															74.1
														
													
												
											
										
									
								"
Wilbert Montgomery,"
									
										
										
											
												
												
													
														
														
															193
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															16.1
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															778
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															4.0
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															64.8
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															64.8
														
													
												
											
										
									
								"
Mike Pruitt,"
									
										
										
											
												
												
													
														
														
															249
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															15.6
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															1,034
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															4.2
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															64.6
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															64.6
														
													
												
											
										
									
								"
Pete Johnson,"
									
										
										
											
												
												
													
														
														
															186
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															15.5
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															747
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															4.0
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															62.2
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															62.2
														
													
												
											
										
									
								"
Franco Harris,"
									
										
										
											
												
												
													
														
														
															208
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															16.0
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															789
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															3.8
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															60.7
														
													
												
											
										
									
								","
									
										
										
											
												
												
													
														
														
															60.7
														
													
												
											
										
									
								"
