Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Barry Sanders,DET,307,19.2,1553,5.1,97.1,11
Terrell Davis,DEN,345,21.6,1538,4.5,96.1,13
Jerome Bettis,PIT,320,20.0,1431,4.5,89.4,11
Ricky Watters,PHI,353,22.1,1411,4.0,88.2,13
Robert Smith,MIN,162,20.2,692,4.3,86.5,3
Eddie George,HOU,335,20.9,1368,4.1,85.5,8
Terry Allen,WAS,347,21.7,1353,3.9,84.6,21
Emmitt Smith,DAL,327,21.8,1204,3.7,80.3,12
Adrian Murrell,NYJ,301,18.8,1249,4.1,78.1,6
Curtis Martin,NE,316,19.8,1152,3.6,72.0,14
Leroy Hoard,MIN,105,17.5,420,4.0,70.0,3
Anthony Johnson,CAR,300,18.8,1120,3.7,70.0,6
Abdul-Karim al-Jabbar,MIA,307,19.2,1116,3.6,69.8,11
Thurman Thomas,BUF,281,18.7,1033,3.7,68.9,8
Bam Morris,BAL,172,15.6,737,4.3,67.0,4
Jamal Anderson,ATL,232,14.5,1055,4.5,65.9,5
Raymont Harris,CHI,194,16.2,748,3.9,62.3,4
Chris Warren,SEA,203,14.5,855,4.2,61.1,5
Errict Rhett,TB,176,19.6,539,3.1,59.9,3
Tim Biakabutuka,CAR,71,17.8,229,3.2,57.2,0
Edgar Bennett,GB,222,13.9,899,4.0,56.2,2
James Stewart,JAC,190,14.6,723,3.8,55.6,8
Rodney Hampton,NYG,254,16.9,827,3.3,55.1,1
Napoleon Kaufman,OAK,150,9.4,874,5.8,54.6,1
Garrison Hearst,CIN,225,14.1,847,3.8,52.9,0
Ray Zellars,NO,120,13.3,475,4.0,52.8,4
Marcus Allen,KC,206,12.9,830,4.0,51.9,9
Leonard Russell,SD,219,14.6,713,3.3,47.5,7
Marshall Faulk,IND,198,15.2,587,3.0,45.2,7
Greg Hill,KC,135,9.0,645,4.8,43.0,4
Lamar Smith,SEA,153,9.6,680,4.4,42.5,8
Erric Pegram,PIT,97,8.1,509,5.2,42.4,1
LeShon Johnson,ARI,141,9.4,634,4.5,42.3,3
Lawrence Phillips,STL,193,12.9,632,3.3,42.1,4
Mario Bates,NO,164,11.7,584,3.6,41.7,4
Rashaan Salaam,CHI,143,11.9,496,3.5,41.3,3
Terry Kirby,SF,134,9.6,559,4.2,39.9,3
Earnest Byner,BAL,159,9.9,634,4.0,39.6,4
Natrone Means,JAC,152,10.9,507,3.3,36.2,2
